Season,Tour,Time,Opponent,HoAw,ArsenalScore,OpponentScore,Stadium,Attendance,Coach,Referee
2018/19,15,21:00:00,Man Utd,away,2,2,Old Trafford,74507,Unai Emery,Andre Marriner
2018/19,16,16:00:00,Huddersfield,home,1,0,Emirates Stadium,59893,Unai Emery,Paul Tierney
2018/19,17,14:30:00,Southampton,away,2,3,St Mary's Stadium,29497,Unai Emery,Chris Kavanagh
2018/19,18,13:30:00,Burnley,home,3,1,Emirates Stadium,59493,Unai Emery,Kevin Friend
2018/19,19,18:15:00,Brighton,away,1,1,AMEX Stadium,30608,Unai Emery,Anthony Taylor
2018/19,20,18:30:00,Liverpool,away,1,5,Anfield,53326,Unai Emery,Michael Oliver
2018/19,21,16:00:00,Fulham,home,4,1,Emirates Stadium,59887,Unai Emery,Graham Scott
2018/19,22,13:30:00,West Ham,away,0,1,London Stadium,59946,Unai Emery,Jonathan Moss
2018/19,23,18:30:00,Chelsea,home,2,0,Emirates Stadium,59979,Unai Emery,Anthony Taylor
2018/19,24,20:45:00,Cardiff,home,2,1,Emirates Stadium,59933,Unai Emery,Mike Dean
2018/19,25,17:30:00,Man City,away,1,3,Etihad Stadium,54483,Unai Emery,Martin Atkinson
2018/19,26,16:00:00,Huddersfield,away,2,1,John Smith's Stadium,24182,Unai Emery,Jonathan Moss
2018/19,27,15:05:00,Southampton,home,2,0,Emirates Stadium,59877,Unai Emery,Graham Scott
2018/19,28,20:45:00,Bournemouth,home,5,1,Emirates Stadium,59618,Unai Emery,Chris Kavanagh
2018/19,29,13:30:00,Tottenham,away,1,1,Wembley Stadium,81332,Unai Emery,Anthony Taylor
2018/19,30,17:30:00,Man Utd,home,2,0,Emirates Stadium,60000,Unai Emery,Jonathan Moss
2018/19,32,21:00:00,Newcastle,home,2,0,Emirates Stadium,59869,Unai Emery,Anthony Taylor
2018/19,33,15:05:00,Everton,away,0,1,Goodison Park,39400,Unai Emery,Kevin Friend
2018/19,34,21:00:00,Watford,away,1,0,Vicarage Road,20480,Unai Emery,Craig Pawson
2018/19,35,17:00:00,Crystal Palace,home,2,3,Emirates Stadium,59929,Unai Emery,Jonathan Moss
2018/19,31,20:45:00,Wolves,away,1,3,Molineux Stadium,31436,Unai Emery,Stuart Attwell
2018/19,36,13:00:00,Leicester,away,0,3,King Power Stadium,32037,Unai Emery,Michael Oliver
2018/19,37,17:30:00,Brighton,home,1,1,Emirates Stadium,59965,Unai Emery,Anthony Taylor
2018/19,38,16:00:00,Burnley,away,3,1,Turf Moor,21461,Unai Emery,Mike Dean
2019/20,1,15:00:00,Newcastle,away,1,0,St James' Park,47635,Unai Emery,Martin Atkinson
2019/20,2,13:30:00,Burnley,home,2,1,Emirates Stadium,60214,Unai Emery,Mike Dean
2019/20,3,18:30:00,Liverpool,away,1,3,Anfield,53298,Unai Emery,Anthony Taylor
2019/20,4,17:30:00,Tottenham,home,2,2,Emirates Stadium,60333,Unai Emery,Martin Atkinson
2019/20,5,17:30:00,Watford,away,2,2,Vicarage Road,21360,Unai Emery,Anthony Taylor
2019/20,6,17:30:00,Aston Villa,home,3,2,Emirates Stadium,60331,Unai Emery,Jonathan Moss
2019/20,7,21:00:00,Man Utd,away,1,1,Old Trafford,73201,Unai Emery,Kevin Friend
2019/20,8,15:00:00,Bournemouth,home,1,0,Emirates Stadium,60326,Unai Emery,Martin Atkinson
2019/20,9,21:00:00,Sheff Utd,away,0,1,Bramall Lane,30775,Unai Emery,Mike Dean
2019/20,10,17:30:00,Crystal Palace,home,2,2,Emirates Stadium,60345,Unai Emery,Martin Atkinson
2019/20,11,16:00:00,Wolves,home,1,1,Emirates Stadium,60383,Unai Emery,Michael Oliver
2019/20,12,18:30:00,Leicester,away,0,2,King Power Stadium,32209,Unai Emery,Chris Kavanagh
2019/20,13,16:00:00,Southampton,home,2,2,Emirates Stadium,60295,Unai Emery,Stuart Attwell
2019/20,14,15:00:00,Norwich,away,2,2,Carrow Road,27067,Freddie Ljungberg,Paul Tierney
2019/20,15,21:15:00,Brighton,home,1,2,Emirates Stadium,60164,Freddie Ljungberg,Graham Scott
2019/20,16,21:00:00,West Ham,away,3,1,London Stadium,59936,Freddie Ljungberg,Mike Dean
2019/20,17,17:30:00,Man City,home,0,3,Emirates Stadium,60031,Freddie Ljungberg,Paul Tierney
2019/20,18,13:30:00,Everton,away,0,0,Goodison Park,39336,Freddie Ljungberg,Kevin Friend
2019/20,19,16:00:00,Bournemouth,away,1,1,Vitality Stadium,10234,Mikel Arteta,Stuart Attwell
2019/20,20,15:00:00,Chelsea,home,1,2,Emirates Stadium,60309,Mikel Arteta,Craig Pawson
2019/20,21,21:00:00,Man Utd,home,2,0,Emirates Stadium,60328,Mikel Arteta,Chris Kavanagh
2019/20,22,13:30:00,Crystal Palace,away,1,1,Selhurst Park,25468,Mikel Arteta,Paul Tierney
2019/20,23,16:00:00,Sheff Utd,home,1,1,Emirates Stadium,60310,Mikel Arteta,Mike Dean
2019/20,24,21:15:00,Chelsea,away,2,2,Stamford Bridge,40577,Mikel Arteta,Stuart Attwell
2019/20,25,15:00:00,Burnley,away,0,0,Turf Moor,21048,Mikel Arteta,Chris Kavanagh
2019/20,26,17:30:00,Newcastle,home,4,0,Emirates Stadium,60188,Mikel Arteta,Lee Mason
2019/20,27,17:30:00,Everton,home,3,2,Emirates Stadium,60296,Mikel Arteta,Stuart Attwell
